N,P,K,temperature,humidity,ph,rainfall,season,label
65,29,45,14.2,54.6,6.6,70.5,Winter,orange
65,46,34,17.1,63.5,7.4,79.0,Winter,wheat
59,25,21,18.5,66.6,6.7,46.3,Winter,potato
74,43,27,32.2,79.3,6.1,162.5,Spring,papaya
94,36,52,32.2,89.7,6.2,183.5,Summer,banana
54,37,36,14.5,71.5,5.6,107.3,Winter,orange
59,40,29,24.6,51.4,5.5,99.1,Autumn,cotton
46,33,21,19.2,45.6,6.1,75.1,Winter,carrot
48,33,17,17.4,56.2,5.6,67.5,Winter,carrot
45,32,24,14.9,67.0,6.4,60.4,Winter,potato
75,60,30,13.4,50.4,6.6,63.3,Winter,wheat
68,30,40,31.9,68.3,6.6,132.1,Summer,soybean
55,26,35,33.9,51.2,7.3,119.4,Autumn,cotton
62,20,39,21.4,55.5,7.1,62.2,Winter,grapes
59,29,38,24.2,60.1,6.5,66.3,Autumn,cotton
76,60,38,19.4,57.2,7.4,100.6,Winter,wheat
91,35,35,27.5,70.3,6.3,268.2,Summer,rice
48,35,33,30.8,63.8,5.7,89.1,Autumn,cotton
76,54,46,11.0,66.4,6.1,120.6,Winter,wheat
87,40,36,26.3,74.9,6.1,251.1,Summer,rice
78,48,47,25.0,87.6,5.7,206.6,Summer,banana
83,46,36,26.9,62.0,5.7,81.1,Spring,maize
53,58,30,19.1,73.5,6.0,69.6,Winter,wheat
40,26,31,29.4,47.9,6.0,112.8,Autumn,cotton
69,24,32,29.1,52.1,6.6,73.4,Spring,tomato
57,39,35,7.1,69.8,6.2,70.1,Winter,apple
63,40,24,21.4,53.7,5.8,92.7,Winter,grapes
84,37,34,24.0,61.6,6.4,85.4,Summer,soybean
50,43,35,17.8,70.0,5.7,68.3,Winter,orange
82,27,44,31.8,60.3,6.6,225.3,Summer,mango
66,43,28,13.3,54.8,7.0,82.4,Winter,apple
63,29,35,30.4,84.6,6.1,169.3,Spring,papaya
54,15,15,17.9,52.7,6.1,51.4,Winter,carrot
58,35,32,28.1,57.5,5.8,123.2,Spring,tomato
100,50,53,24.8,89.6,6.3,218.4,Summer,banana
48,38,27,28.1,57.3,5.7,107.9,Spring,tomato
50,46,39,9.2,51.7,6.1,114.5,Winter,apple
61,34,40,25.4,61.8,7.0,99.1,Autumn,cotton
70,44,29,12.5,54.2,6.0,84.6,Winter,apple
45,21,39,31.1,57.5,6.9,91.1,Autumn,cotton
59,29,25,19.5,70.8,6.6,128.3,Spring,tomato
64,23,25,23.9,68.6,6.3,62.7,Spring,tomato
39,17,26,20.1,59.0,5.7,53.7,Winter,onion
65,43,27,22.1,78.3,6.3,171.9,Spring,papaya
65,20,29,19.1,65.8,5.9,113.0,Spring,tomato
64,33,29,22.8,77.7,6.7,127.0,Summer,soybean
71,41,39,25.5,71.9,6.7,175.7,Spring,maize
39,34,16,15.2,49.4,5.7,75.5,Winter,carrot
79,34,39,6.0,54.7,5.7,142.2,Winter,apple
85,35,31,24.8,68.0,6.4,90.9,Spring,maize
65,42,45,14.3,52.8,6.6,96.0,Winter,wheat
49,39,40,20.6,53.0,5.8,70.5,Winter,grapes
69,30,44,24.5,71.6,6.3,75.3,Summer,soybean
62,43,30,28.9,78.9,6.2,165.9,Summer,soybean
85,42,37,26.0,66.4,5.8,173.7,Summer,mango
80,37,48,26.9,77.9,5.5,284.4,Summer,banana
74,29,46,25.7,62.3,7.4,206.6,Summer,mango
44,24,19,9.9,60.6,6.6,53.9,Winter,carrot
53,30,33,16.0,68.7,6.3,51.9,Winter,grapes
54,38,35,25.1,48.3,6.3,93.3,Autumn,cotton
57,26,22,19.5,60.4,6.2,48.0,Winter,potato
65,29,23,34.1,48.8,6.4,119.5,Autumn,cotton
77,52,44,13.1,69.3,6.9,98.1,Winter,wheat
60,37,33,20.3,62.1,6.3,74.8,Spring,maize
46,28,29,24.7,65.9,5.6,114.0,Autumn,cotton
79,34,35,6.5,69.2,6.7,121.2,Winter,apple
64,56,42,12.8,66.3,6.8,108.4,Winter,wheat
63,42,25,24.0,66.1,7.0,96.0,Spring,papaya
67,23,38,19.4,72.8,6.6,64.9,Spring,tomato
73,45,39,22.6,67.0,7.1,152.1,Summer,soybean
46,29,22,15.4,59.9,6.9,83.8,Winter,onion
70,33,38,29.6,69.6,6.0,134.1,Spring,papaya
55,35,22,19.4,50.5,5.8,57.8,Winter,potato
95,50,47,25.6,76.9,6.6,218.1,Summer,banana
68,42,26,32.5,70.4,6.7,75.0,Summer,soybean
67,45,36,22.4,55.7,6.6,170.1,Spring,maize
78,44,32,18.2,62.7,6.2,77.1,Winter,apple
67,37,39,21.6,70.5,6.5,110.5,Spring,tomato
83,32,48,32.7,73.5,6.7,210.6,Summer,banana
82,43,30,30.1,73.1,6.6,158.6,Summer,soybean
62,45,30,18.1,68.5,7.1,128.5,Winter,wheat
60,40,34,29.6,56.5,6.8,116.5,Spring,maize
54,18,35,16.8,58.4,6.4,68.5,Winter,onion
40,30,22,28.8,69.4,6.5,114.4,Autumn,cotton
63,34,22,23.1,63.2,5.6,65.9,Winter,grapes
73,37,56,26.9,82.8,6.9,241.9,Summer,banana
54,34,25,19.1,47.7,6.0,93.3,Winter,onion
40,23,30,19.4,53.8,6.0,50.0,Winter,potato
99,48,57,25.7,89.1,6.1,176.2,Summer,banana
